user_id,churn_prob,true,risk_tier,plan_tier,region,latest_mrr,features_used,sessions_per_week,days_since_last_seen
a3d2f5db-f02b-47ed-bbae-3115af7899a3,0.38724728515067774,0,Medium,free,EU,0.0,,7.0,23.0
8ba9b3b8-1d4c-4746-bf5c-2f47cc7ab611,0.5530044130412791,1,Medium,free,NA,0.0,,7.0,33.0
8a8223dd-654e-4401-b83b-db852bb8d11f,0.38466939530483696,1,Medium,free,EU,0.0,1.0,7.0,45.0
2dc31d23-05c7-485a-b6b9-dce905320767,0.5359421978948603,1,Medium,free,NA,0.0,,,
a16bae97-57ee-4cd3-a0e4-34e46f0f2c18,0.37651330282607315,0,Medium,free,NA,0.0,,7.0,389.0
50e33dc9-4222-4b80-9a92-8f4d65b716d2,0.4244211101294243,0,Medium,free,APAC,0.0,1.0,7.0,36.0
bcc0dec4-0034-4c4a-8166-7678464373e8,0.30077891361803094,1,Medium,standard,NA,544.0,,,
5e7646a6-1d63-4d40-b831-741362210058,0.5218082458849758,0,Medium,free,APAC,0.0,,,
32379e3c-c730-4eb7-9af6-361c4dd2bd6e,0.41251028599901773,1,Medium,free,NA,0.0,,7.0,129.0
4e122bc1-12e2-44e1-82cb-5f29794a3222,0.3005668079603003,0,Medium,standard,NA,102.4,,,
133b42b4-9f4d-4953-abdb-5df0b0abf7c8,0.41892454147791436,0,Medium,free,NA,0.0,,,
67e9660d-0d7c-4a59-8689-3b6eae460e11,0.3724881660234367,1,Medium,free,APAC,0.0,1.0,7.0,305.0
8fdcf6c6-a222-4b82-a7fc-38277df369a7,0.5150875490504929,1,Medium,free,APAC,0.0,,,
84ed1ffa-8199-4f44-82f1-92e91c48cb17,0.3994458660620221,0,Medium,free,APAC,0.0,,7.0,138.0
574045a1-7521-46f4-b041-466b60c07c43,0.3901733804628568,1,Medium,free,NA,0.0,,,
67109826-9542-4e02-a265-104d2facd332,0.4334909623208641,1,Medium,free,NA,0.0,2.0,7.0,76.0
e1c1a3b0-91d1-48c3-861a-ab8561b4c0fa,0.45163614789166273,1,Medium,free,NA,40.0,1.0,7.0,59.0
b76dda80-8e0c-478c-b273-9f7a41dda0b5,0.3508554671109225,0,Medium,standard,APAC,32.0,,7.0,100.0
5d373b21-fda0-48c9-8906-97f2596ccee5,0.5625980929124207,0,Medium,free,APAC,0.0,,,
